meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1218,9157,18,1,2023-09-03T13:23:22.770000+00:00,34.243,32.64,30.195,320.0,300.0,False,97.078,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 0]",246.0
1218,9157,55,2,2023-09-03T13:24:50.159000+00:00,28.266,29.312,28.428,303.0,302.0,False,86.006,"[2049, 2049, 2049, 2051, 2048, 2048, 2049, 2048]","[2048, 2051, 2051, 2048, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048]",304.0
1218,9157,1,2,2023-09-03T13:24:50.909000+00:00,28.274,29.543,28.346,309.0,309.0,False,86.163,"[2049, 2049, 2048, 2049, 2048, 2048, 2049, 2048]","[2049, 2049, 2048, 2048, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2048, 2049, 2048, 2048, 2048, 2049]",305.0
1218,9157,16,2,2023-09-03T13:24:51.769000+00:00,28.155,29.728,28.429,309.0,307.0,False,86.312,"[2049, 2049, 2051, 2049, 2048, 2049, 2049, 2048]","[2049, 2049, 2049, 2048, 2049, 2048, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",312.0
1218,9157,63,2,2023-09-03T13:24:52.409000+00:00,28.274,29.786,28.626,309.0,309.0,False,86.686,"[2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]",317.0
1218,9157,11,2,2023-09-03T13:24:52.894000+00:00,28.473,29.887,28.521,311.0,312.0,False,86.881,"[2049, 2049, 2048, 2049, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2048, 2051, 2049, 2048, 2048, 2048]",301.0
1218,9157,81,2,2023-09-03T13:24:53.363000+00:00,28.711,30.778,28.564,320.0,313.0,False,88.053,"[2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2049, 2048, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",319.0
1218,9157,23,2,2023-09-03T13:24:53.816000+00:00,28.248,30.336,28.483,321.0,311.0,False,87.067,"[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2048]","[2051, 2048, 2048, 2049, 2049, 2051, 2048]","[2049, 2049, 2048, 2048, 2048, 2049, 2049, 2049, 2048]",325.0
1218,9157,4,2,2023-09-03T13:24:54.597000+00:00,28.537,30.36,28.678,315.0,313.0,False,87.575,"[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2049]","[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",311.0
1218,9157,44,2,2023-09-03T13:24:55.097000+00:00,28.509,30.313,29.015,316.0,312.0,False,87.837,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2048, 2049, 2049, 2048]","[2048, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048]",308.0
